round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,emb_output_dims,epochs,last_activation,losses,lr,neurons,optimizer,shape,weight_regulizer
100,0.49730074405670166,0.7180989384651184,0.49005645513534546,0.6995447874069214,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.4812610149383545,0.7337239384651184,0.48563477396965027,0.714719295501709,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.4064975082874298,0.798828125,0.4216819405555725,0.7814871072769165,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.41298648715019226,0.794921875,0.41442978382110596,0.7784522175788879,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.4275573194026947,0.7740885615348816,0.4210473597049713,0.7754173278808594,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.42381754517555237,0.7884114384651184,0.4180963337421417,0.772382378578186,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.4740963876247406,0.7330729365348816,0.4971252381801605,0.6949924230575562,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.4790494441986084,0.7278645634651184,0.487066388130188,0.6980273127555847,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.41379401087760925,0.7923176884651184,0.40795648097991943,0.7860394716262817,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.40169990062713623,0.798828125,0.41499409079551697,0.7860394716262817,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.4242195785045624,0.7916666865348816,0.431365042924881,0.7708649635314941,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.4265327453613281,0.77734375,0.4222783148288727,0.7678300738334656,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.6778302788734436,0.5852864384651184,0.6709010601043701,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.6790172457695007,0.5852864384651184,0.671849250793457,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.44170668721199036,0.77734375,0.446914941072464,0.7572078704833984,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.43953296542167664,0.7734375,0.4414699673652649,0.7678300738334656,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.44950518012046814,0.7565104365348816,0.45000720024108887,0.7572078704833984,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.45189759135246277,0.7643229365348816,0.47710520029067993,0.7314112186431885,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.6779381632804871,0.5852864384651184,0.6708651185035706,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.6765328049659729,0.5852864384651184,0.6695542931556702,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.42797139286994934,0.775390625,0.4305155873298645,0.7632777094841003,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.43178901076316833,0.7747395634651184,0.4395226240158081,0.7632777094841003,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.4351886808872223,0.7786458134651184,0.4379602074623108,0.752655565738678,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.4543369710445404,0.775390625,0.44529810547828674,0.7632777094841003,<function tanh at 0x7f0a1a5a0170>,16,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.4711253345012665,0.759765625,0.45453080534935,0.7663125991821289,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.48752322793006897,0.734375,0.4865294396877289,0.7132018208503723,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.45627400279045105,0.7747395634651184,0.4443812370300293,0.752655565738678,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.41753748059272766,0.7779948115348816,0.4297216236591339,0.772382378578186,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.4186011254787445,0.78125,0.4126211702823639,0.7647951245307922,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.4326709508895874,0.7747395634651184,0.4261125922203064,0.7617602348327637,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.4764997065067291,0.73046875,0.48996174335479736,0.6980273127555847,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.4867735803127289,0.732421875,0.4926318824291229,0.6980273127555847,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.40466544032096863,0.7916666865348816,0.4124443233013153,0.7799696326255798,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.4076598584651947,0.791015625,0.41842180490493774,0.7738998532295227,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.40908440947532654,0.798828125,0.41116777062416077,0.7936267256736755,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.4128476083278656,0.7884114384651184,0.41148898005485535,0.7754173278808594,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.677250862121582,0.5852864384651184,0.6702709794044495,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.6779213547706604,0.5852864384651184,0.6708629727363586,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.4367713928222656,0.7721354365348816,0.43622881174087524,0.7617602348327637,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.45084989070892334,0.765625,0.4523669183254242,0.7587253451347351,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.4743901491165161,0.7434895634651184,0.4814016819000244,0.7056145668029785,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.45515701174736023,0.7649739384651184,0.4540327489376068,0.7663125991821289,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.6779918670654297,0.5852864384651184,0.6710964441299438,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.6784050464630127,0.5852864384651184,0.6715132594108582,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.43269050121307373,0.7701823115348816,0.4396034777164459,0.7693474888801575,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.43536177277565,0.7779948115348816,0.432569295167923,0.7647951245307922,<function tanh at 0x7f0a1a5a0170>,16,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
